""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAL002W"	772.609213852169	1.14357449364594	0.130410410618146	8.76904296386605	1.80191280059142e-18	1.1186012318614e-17
"YAL003W"	14743.9545723415	-1.34330007158872	0.171176865491924	-7.8474393588665	4.24617613285067e-15	2.22829696493969e-14
"YAL005C"	54825.7977004424	2.80260718243796	0.117900852449587	23.7708814161145	6.6840245454689e-125	2.98752848821958e-123
"YAL008W"	645.553891565133	1.145510030421	0.147421813567139	7.77028855298482	7.83075309518132e-15	4.06008886478961e-14
"YAL012W"	14229.4629717613	-1.37976901942383	0.125784056073298	-10.9693474872507	5.36582199519818e-28	4.71857426741919e-27
"YAL016C-A"	31.7905798927562	1.66905011907848	0.442890694744961	3.76853733637282	0.000164206926608478	0.000371976613544056
"YAL016C-B"	36.4965112530306	1.24014561736373	0.396701064981701	3.1261464282203	0.0017711333940777	0.00348262000212911
"YAL019W"	386.372949468395	-1.70394810572408	0.218192079814535	-7.80939485600234	5.74632125569221e-15	3.00337968210816e-14
"YAL025C"	417.789436073827	-3.26901741460918	0.195404502865192	-16.7294886590431	7.99214762738542e-63	1.47150877196264e-61
"YAL028W"	339.880498018913	1.98252307351052	0.168933564934457	11.7355190739016	8.38105604079639e-32	8.24243159338413e-31
"YAL030W"	950.683513974376	1.03042555166737	0.136887052535678	7.52756036878503	5.16971092944465e-14	2.56742502174182e-13
"YAL034C-B"	22.984003322604	-2.14779778643498	0.425089510396585	-5.05257771341195	4.35886910006434e-07	1.32008554380921e-06
"YAL035W"	2555.6031318484	-2.08569436559816	0.184186173535699	-11.3238378623133	9.99962298299066e-30	9.28475022245881e-29
"YAL036C"	1755.7952901525	-2.16430536355517	0.0926109174497941	-23.3698728309054	8.65603215907209e-121	3.71521486244677e-119
"YAL042C-A"	3.27252234303908	3.41138597963126	1.55065956568963	2.19995804050911	0.0278098721561158	0.0444039865591984
"YAL059W"	553.207358806899	-2.89101919527571	0.159550124062603	-18.119817908392	2.22329600446925e-73	4.93465116608397e-72
"YAL060W"	4394.88882238651	1.85375507481594	0.121594658233846	15.2453660526013	1.76739665090172e-52	2.77348612457483e-51
