Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR5486478	79.01266864755482	43.0	50.0	18.181818181818183	15505902.0
SRR5486479	77.90049982149559	43.0	50.0	9.090909090909092	12624871.0
SRR5486480	82.11129633095132	42.0	50.0	9.090909090909092	20042478.0
SRR5486481	78.60668962708796	42.0	50.0	18.181818181818183	16838964.0
SRR5486482	76.22115669977313	42.0	50.0	9.090909090909092	15428513.0
SRR5486483	75.50273797469518	42.0	50.0	18.181818181818183	15049341.0
SRR5486484	80.55304502650291	43.0	50.0	18.181818181818183	18480510.0
SRR5486485	79.51668451492415	43.0	50.0	18.181818181818183	16042213.0
SRR5486486	81.24505911031466	42.0	50.0	9.090909090909092	14443481.0
SRR5486487	80.4313229107293	43.0	50.0	18.181818181818183	20278691.0
SRR5486488	81.28082724808223	44.0	50.0	18.181818181818183	18979596.0
SRR5486489	80.64612469801345	42.0	50.0	9.090909090909092	19035985.0
